target,kind,file,line,area,classification,blocking,reason,excerpt
"aprovar_cadastro_morador","LEGACY","011-A03.3-D11.1-R3-C02-A02-A01.mjs","47","OUTRO","COMENTARIO_OU_TEXTO","false","Referência textual sem evidência suficiente de caller runtime.","""aprovar_cadastro_morador"","
"reprovar_cadastro_morador","LEGACY","011-A03.3-D11.1-R3-C02-A02-A01.mjs","48","OUTRO","COMENTARIO_OU_TEXTO","false","Referência textual sem evidência suficiente de caller runtime.","""reprovar_cadastro_morador"","
"aprovar_arquivo_morador","LEGACY","011-A03.3-D11.1-R3-C02-A02-A01.mjs","49","OUTRO","COMENTARIO_OU_TEXTO","false","Referência textual sem evidência suficiente de caller runtime.","""aprovar_arquivo_morador"","
"remover_arquivo_morador","LEGACY","011-A03.3-D11.1-R3-C02-A02-A01.mjs","50","OUTRO","COMENTARIO_OU_TEXTO","false","Referência textual sem evidência suficiente de caller runtime.","""remover_arquivo_morador"","
"revogar_convite_morador","LEGACY","011-A03.3-D11.1-R3-C02-A02-A01.mjs","51","OUTRO","COMENTARIO_OU_TEXTO","false","Referência textual sem evidência suficiente de caller runtime.","""revogar_convite_morador"","
"rpc_admin_morador_auditoria_decidir_v1","WRAPPER","011-A03.3-D11.1-R3-C02-A02-A01.mjs","60","OUTRO","WRAPPER_REFERENCIA","false","Referência ao wrapper sem caracterização de caller runtime.","""rpc_admin_morador_auditoria_decidir_v1"","
"rpc_admin_morador_arquivo_decidir_v1","WRAPPER","011-A03.3-D11.1-R3-C02-A02-A01.mjs","61","OUTRO","WRAPPER_REFERENCIA","false","Referência ao wrapper sem caracterização de caller runtime.","""rpc_admin_morador_arquivo_decidir_v1"","
"rpc_admin_morador_convite_revogar_v1","WRAPPER","011-A03.3-D11.1-R3-C02-A02-A01.mjs","62","OUTRO","WRAPPER_REFERENCIA","false","Referência ao wrapper sem caracterização de caller runtime.","""rpc_admin_morador_convite_revogar_v1"","
"rpc_admin_morador_auditoria_decidir_v1","WRAPPER","011-A03.3-D11.1-R3-C02-A02-A01.mjs","77","OUTRO","WRAPPER_REFERENCIA","false","Referência ao wrapper sem caracterização de caller runtime.","rpc_admin_morador_auditoria_decidir_v1:"
"aprovar_cadastro_morador","LEGACY","011-A03.3-D11.1-R3-C02-A02-A01.mjs","79","OUTRO","COMENTARIO_OU_TEXTO","false","Referência textual sem evidência suficiente de caller runtime.","""aprovar_cadastro_morador"","
"reprovar_cadastro_morador","LEGACY","011-A03.3-D11.1-R3-C02-A02-A01.mjs","80","OUTRO","COMENTARIO_OU_TEXTO","false","Referência textual sem evidência suficiente de caller runtime.","""reprovar_cadastro_morador"","
"rpc_admin_morador_arquivo_decidir_v1","WRAPPER","011-A03.3-D11.1-R3-C02-A02-A01.mjs","83","OUTRO","WRAPPER_REFERENCIA","false","Referência ao wrapper sem caracterização de caller runtime.","rpc_admin_morador_arquivo_decidir_v1:"
"aprovar_arquivo_morador","LEGACY","011-A03.3-D11.1-R3-C02-A02-A01.mjs","85","OUTRO","COMENTARIO_OU_TEXTO","false","Referência textual sem evidência suficiente de caller runtime.","""aprovar_arquivo_morador"","
"remover_arquivo_morador","LEGACY","011-A03.3-D11.1-R3-C02-A02-A01.mjs","86","OUTRO","COMENTARIO_OU_TEXTO","false","Referência textual sem evidência suficiente de caller runtime.","""remover_arquivo_morador"","
"rpc_admin_morador_convite_revogar_v1","WRAPPER","011-A03.3-D11.1-R3-C02-A02-A01.mjs","89","OUTRO","WRAPPER_REFERENCIA","false","Referência ao wrapper sem caracterização de caller runtime.","rpc_admin_morador_convite_revogar_v1:"
"revogar_convite_morador","LEGACY","011-A03.3-D11.1-R3-C02-A02-A01.mjs","91","OUTRO","COMENTARIO_OU_TEXTO","false","Referência textual sem evidência suficiente de caller runtime.","""revogar_convite_morador"","
